paperID,imageID,size,imagenumbers,imagepath,M,N,ImgEntropy,ratio,meangray,vargray,meanR,vargR,meanG,vargG,meanB,vargB,meanH,vargH,meanS,vargS,meanV,vargV
,allpaper,,,,,,,,,,,,,,,,,,,,,
allpaper,10.1109@TVCG.2007.70515,,10,,,,,,,,,,,,,,,,,,,
10.1109@TVCG.2007.70515,10.1109@TVCG.2007.70515_10_01_T01.jpg,180200,1,./image/2007/T01/10.1109@TVCG.2007.70515/10.1109@TVCG.2007.70515_10_01_T01.jpg,425,424,3.108041,0.997647,225.006953,4098.360991,221.731465,5114.650112,225.777453,3925.678079,229.6449,3173.930169,0.15631,0.077008,0.064113,0.036725,0.903892,0.047585
10.1109@TVCG.2007.70515,10.1109@TVCG.2007.70515_10_02_T01.jpg,256793,1,./image/2007/T01/10.1109@TVCG.2007.70515/10.1109@TVCG.2007.70515_10_02_T01.jpg,491,523,3.503968,1.065173,232.351283,2378.56967,229.541495,3353.926525,233.088721,2191.887036,236.026107,1589.382212,0.126244,0.052743,0.045646,0.031354,0.927851,0.023491
10.1109@TVCG.2007.70515,10.1109@TVCG.2007.70515_10_03_T01.jpg,341901,1,./image/2007/T01/10.1109@TVCG.2007.70515/10.1109@TVCG.2007.70515_10_03_T01.jpg,469,729,4.494875,1.554371,156.056885,4086.037469,125.618644,8615.021031,164.618998,3135.167651,191.887137,1203.079675,0.488679,0.050304,0.400337,0.155233,0.754036,0.018738
10.1109@TVCG.2007.70515,10.1109@TVCG.2007.70515_10_04_T01.jpg,239568,1,./image/2007/T01/10.1109@TVCG.2007.70515/10.1109@TVCG.2007.70515_10_04_T01.jpg,322,744,3.971264,2.310559,219.652291,2683.726139,216.436603,3378.715696,220.547039,2543.424845,223.386788,2162.263582,0.22831,0.085087,0.044458,0.019375,0.876457,0.03321
10.1109@TVCG.2007.70515,10.1109@TVCG.2007.70515_10_05_T01.jpg,200088,1,./image/2007/T01/10.1109@TVCG.2007.70515/10.1109@TVCG.2007.70515_10_05_T01.jpg,397,504,5.47879,1.269521,201.382952,5127.381393,199.901618,5867.24534,201.151758,5310.591467,206.394411,3479.189519,0.29012,0.078638,0.139488,0.061561,0.836066,0.046468
10.1109@TVCG.2007.70515,10.1109@TVCG.2007.70515_10_06_T01.jpg,243194,1,./image/2007/T01/10.1109@TVCG.2007.70515/10.1109@TVCG.2007.70515_10_06_T01.jpg,406,599,5.733695,1.475369,208.193196,1883.935503,210.319083,1827.369186,207.973083,2021.141011,203.574648,1924.694573,0.350741,0.067661,0.079969,0.011218,0.842726,0.022806
10.1109@TVCG.2007.70515,10.1109@TVCG.2007.70515_10_07_T01.jpg,236417,1,./image/2007/T01/10.1109@TVCG.2007.70515/10.1109@TVCG.2007.70515_10_07_T01.jpg,437,541,3.580704,1.237986,177.945947,1746.087085,175.326618,2104.107189,178.445459,1688.62695,182.83546,1514.222081,0.487179,0.065919,0.049391,0.016333,0.718473,0.023057
10.1109@TVCG.2007.70515,10.1109@TVCG.2007.70515_10_08_T01.jpg,220350,1,./image/2007/T01/10.1109@TVCG.2007.70515/10.1109@TVCG.2007.70515_10_08_T01.jpg,390,565,3.908046,1.448718,237.255743,990.765382,243.634286,651.967016,235.032244,1218.293144,231.912117,1635.89008,0.037422,0.018696,0.052799,0.014285,0.956626,0.009706
10.1109@TVCG.2007.70515,10.1109@TVCG.2007.70515_10_09_T01.jpg,314835,1,./image/2007/T01/10.1109@TVCG.2007.70515/10.1109@TVCG.2007.70515_10_09_T01.jpg,417,755,4.925418,1.810552,219.022027,2876.782451,222.459688,2559.476756,218.111579,3236.87423,214.625436,3795.960885,0.248249,0.094745,0.081426,0.038179,0.886499,0.03126
10.1109@TVCG.2007.70515,10.1109@TVCG.2007.70515_10_10_T01.jpg,189696,1,./image/2007/T01/10.1109@TVCG.2007.70515/10.1109@TVCG.2007.70515_10_10_T01.jpg,416,456,6.213056,1.096154,196.21933,2376.799339,183.016975,4602.499145,202.790001,1820.088713,196.880214,2618.838141,0.482948,0.041608,0.131945,0.064278,0.809016,0.025656
allpaper,10.1109@TVCG.2007.70519,,9,,,,,,,,,,,,,,,,,,,
10.1109@TVCG.2007.70519,10.1109@TVCG.2007.70519_09_01_T01.jpg,256056,1,./image/2007/T01/10.1109@TVCG.2007.70519/10.1109@TVCG.2007.70519_09_01_T01.jpg,376,681,5.548856,1.81117,142.662523,4925.234956,127.22845,5807.762655,148.256803,5073.889866,154.444473,5746.831175,0.337441,0.083735,0.193867,0.066666,0.627066,0.08518
10.1109@TVCG.2007.70519,10.1109@TVCG.2007.70519_09_02_T01.jpg,62832,1,./image/2007/T01/10.1109@TVCG.2007.70519/10.1109@TVCG.2007.70519_09_02_T01.jpg,136,462,4.739835,3.397059,211.186481,4713.565788,204.222212,7932.750513,215.85587,4226.661373,205.371276,6347.999759,0.137293,0.054304,0.190193,0.129372,0.886758,0.048404
10.1109@TVCG.2007.70519,10.1109@TVCG.2007.70519_09_03_T01.jpg,126962,1,./image/2007/T01/10.1109@TVCG.2007.70519/10.1109@TVCG.2007.70519_09_03_T01.jpg,199,638,4.268383,3.20603,180.565335,7462.5092,177.825042,8032.667218,177.510877,8111.829109,203.493321,3600.463976,0.325744,0.110542,0.199713,0.059838,0.798634,0.055577
